Cumulative,Cumulative Test positive,Cumulative tests performed,Date,Discharged,Expired,Home Quarantine,New (last 24 hrs),Region,Still admitted,Tests performed in last 24 hours,Positivity Rate (%),Case Fatality Rate (%)
1742,234,1618,2020-04-15,175,3,51.0,98,GB,5,55.0,14.462299134734241,1.282051282051282
4298,240,4100,2020-04-15,137,2,81.0,95,Balochistan,20,88.0,5.853658536585367,0.8333333333333334
1029,46,1029,2020-04-15,4,0,0.0,37,AJK,42,37.0,4.470359572400389,0.0
27803,3217,46561,2020-04-16,550,34,1877.0,3077,Punjab,756,2996.0,6.909215867356801,1.056885296860429
5410,912,4524,2020-04-16,191,42,468.0,322,KP,211,373.0,20.159151193633953,4.605263157894736
4824,145,4824,2020-04-16,17,1,110.0,351,ICT,17,351.0,3.005804311774461,0.6896551724137931
16026,1668,16026,2020-04-16,560,41,748.0,1523,Sindh,319,1523.0,10.408086858854363,2.4580335731414866
4370,280,4299,2020-04-16,140,3,112.0,72,Balochistan,25,199.0,6.513142591300303,1.0714285714285714
1081,46,1081,2020-04-16,9,0,0.0,52,AJK,37,52.0,4.25531914893617,0.0
1839,237,1664,2020-04-16,178,3,51.0,97,GB,5,46.0,14.242788461538462,1.2658227848101267
1135,46,1135,2020-04-17,9,0,0.0,54,AJK,37,54.0,4.052863436123348,0.0
4490,303,4427,2020-04-17,142,5,123.0,120,Balochistan,33,128.0,6.844364129207138,1.65016501650165
1932,245,1826,2020-04-17,183,3,54.0,93,GB,5,162.0,13.417305585980285,1.2244897959183674
5150,154,5150,2020-04-17,20,1,111.0,326,ICT,22,326.0,2.9902912621359223,0.6493506493506493
5758,993,4885,2020-04-17,205,45,513.0,348,KP,230,361.0,20.327533265097237,4.531722054380665
29326,3276,48381,2020-04-17,630,36,1843.0,1523,Punjab,767,2359.0,6.771253177900416,1.098901098901099
18900,2008,18900,2020-04-17,576,45,1120.0,2874,Sindh,267,2874.0,10.624338624338623,2.2410358565737054
6140,1077,5311,2020-04-18,216,50,531.0,382,KP,280,426.0,20.278666917717945,4.642525533890436
